id,release_date,runtime,imdb_id,title,revenue,photo_url,genre,homepage,directors,writers
8363,2007-03-20,113,tt0829482,Superbad,121463226,https://image.tmdb.org/t/p/original/ek8e8txUyUwd2BNqj6lFEerJfbq.jpg,Comedy,http://www.areyousuperbad.com/,"54733,1155667,1473981,2237260","19274,54734"
155,2008-07-14,152,tt0468569,The Dark Knight,1004558444,https://image.tmdb.org/t/p/original/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Drama,Action,Crime,Thriller",https://www.warnerbros.com/movies/dark-knight/,"525,1367508,1566280","525,527,3893,3794,198034,1356195"
429,1966-12-23,161,tt0060196,"The Good, the Bad and the Ugly",25118063,https://image.tmdb.org/t/p/original/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,Western,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly","4385,233354,1542052,1581000","4385,5810,5811,5812,46418"
64682,2013-05-10,143,tt1343092,The Great Gatsby,351040419,https://image.tmdb.org/t/p/original/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg,"Drama,Romance",https://www.warnerbros.com/movies/great-gatsby,"6201,75973,1536443,1571589,1805808,1805809,2005374,2081983,2301527,2623832","6201,6211,40035"
131631,2014-11-19,123,tt1951265,The Hunger Games: Mockingjay - Part 1,752100229,https://image.tmdb.org/t/p/original/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,"Science Fiction,Adventure,Thriller",http://www.thehungergames.movie/,"10943,1341865,1442148,1733214,2068880","35550,189111,225633"
131634,2015-11-18,137,tt1951266,The Hunger Games: Mockingjay - Part 2,653428261,https://image.tmdb.org/t/p/original/lImKHDfExAulp16grYm8zD5eONE.jpg,"Action,Adventure,Science Fiction",http://www.thehungergames.movie/,"10943,1341865,1442148,1733214,2068880","35550,189111,225633"
70160,2012-03-12,142,tt1392170,The Hunger Games,691210692,https://image.tmdb.org/t/p/original/iQK0pkTQC60XR3Zlu2pp8kujoqW.jpg,"Science Fiction,Adventure,Fantasy",http://www.thehungergames.movie/,"1884,4446,6187,40644,23964,75708,131652,1378236,1403421,2253836,2255543,2255545","21807,23964,189111"
101299,2013-11-15,146,tt1951264,The Hunger Games: Catching Fire,847423452,https://image.tmdb.org/t/p/original/xLOTc1DEMJseC2rGCk88Bjggg06.jpg,"Adventure,Action,Science Fiction",http://www.thehungergames.movie/,"6187,10943,75708,1341865","16961,57631,189111"
8587,1994-06-23,89,tt0110357,The Lion King,763455561,https://image.tmdb.org/t/p/original/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,"Family,Animation,Drama",http://movies.disney.com/the-lion-king,"15812,18898,59803,1447436,1447483","7911,7933,32535,38792,56041,56660,61677,62047,66193,71132,74298,952327,957663,958088,1014468,1083425,1246818,1401075,1447357,1653447"
603,1999-03-30,136,tt0133093,The Matrix,463517383,https://image.tmdb.org/t/p/original/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"Action,Science Fiction",http://www.warnerbros.com/matrix,"9339,9340,11266,1153775,1470982,2012062,2249021,2273992,2641109","9339,9340"
604,2003-05-15,138,tt0234215,The Matrix Reloaded,738599701,https://image.tmdb.org/t/p/original/9TGHDvWrqKBzwDxDodHYXEmOE6J.jpg,"Adventure,Action,Thriller,Science Fiction",,"4755,9339,9340,11266,64163,1470982,1735829,2198742,2228318,2273992,2301527,2603043,2641109","9339,9340"
605,2003-11-05,129,tt0242653,The Matrix Revolutions,424988211,https://image.tmdb.org/t/p/original/fgm8OZ7o4G1G1I9EeGcb85Noe6L.jpg,"Adventure,Action,Thriller,Science Fiction",,"9339,9340,11266,64163,1470982,2603043,2641109","9339,9340"
624860,2021-12-15,147,tt10838180,The Matrix Resurrections,0,https://image.tmdb.org/t/p/original/tOqTTslEfjyvoBoBM4B29aeqntt.jpg,"Action,Adventure,Science Fiction",https://www.whatisthematrix.com,9340,"9339,9340,1111715,1621370"
17473,2003-06-27,99,tt0368226,The Room,1752988,https://image.tmdb.org/t/p/original/9QscHN4pXj6Ja1k7e1ZT4vWDGnr.jpg,"Drama,Romance",http://www.theroommovie.com/,81916,81916
630,1939-08-15,102,tt0032138,The Wizard of Oz,33754967,https://image.tmdb.org/t/p/original/bSA6DbAC5gdkaooU164lQUX6rVs.jpg,"Adventure,Fantasy,Family",http://thewizardofoz.warnerbros.com/,9049,"1505,9051,9052,9053,30012"
862,1995-10-30,81,tt0114709,Toy Story,373554033,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Animation,Adventure,Family,Comedy",http://toystory.disney.com/toy-story,7879,"7,7879,7911,12890,12891,12892,12893,958881"
863,1999-10-30,92,tt0120363,Toy Story 2,497366869,https://image.tmdb.org/t/p/original/eVGu0zsezaSCuN67zgNhzjeNI9Z.jpg,"Animation,Comedy,Family",http://toystory.disney.com/toy-story-2,"7879,7980,7981,7984,1459760,1748707,1749740,1749741,1749742,2003474","7,7879,12890,12905,12906,12907,12908"
10193,2010-06-16,103,tt0435761,Toy Story 3,1066969703,https://image.tmdb.org/t/p/original/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,"Animation,Family,Comedy",http://disney.go.com/toystory/,"8,7984,72972","7,8,7879,16961,1447565"
301528,2019-06-19,100,tt1979376,Toy Story 4,1073394593,https://image.tmdb.org/t/p/original/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,"Family,Adventure,Animation,Comedy,Fantasy,Drama",https://www.pixar.com/feature-films-toy-story-4,"84496,2001889,2564245","7,7879,59891,84496,78500,80591,225978,1744241,2947498"
8966,2008-11-20,122,tt1099212,Twilight,393616788,https://image.tmdb.org/t/p/original/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg,"Fantasy,Drama,Romance",,"19850,58797,83069,83656,1409284,1760507,2249578,2344943","56855,56856"
18239,2009-11-18,131,tt1259571,The Twilight Saga: New Moon,709827462,https://image.tmdb.org/t/p/original/j5jM5pq78ObAXX1WhTsb115EkLl.jpg,"Adventure,Fantasy,Drama,Romance",,"3288,17217,1127472,1393423,1768379,2153262","56855,56856"
50619,2011-11-16,117,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,712171856,https://image.tmdb.org/t/p/original/dSSzv6JrlwS48pBeTNSswLJXOYF.jpg,"Adventure,Fantasy,Romance",http://www.breakingdawn-themovie.com/,"15557,113019,1347761,1575978,2045537,2228318","56855,56856"
50620,2012-11-13,115,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,829000000,https://image.tmdb.org/t/p/original/jHE7WUf3FDod8vw3O3twh0JVZun.jpg,"Adventure,Fantasy,Drama,Romance",,"15557,113019,1347761,1575978,2045537,2228318,2264827,2450840","56855,56856"
24021,2010-06-23,124,tt1325004,The Twilight Saga: Eclipse,698491347,https://image.tmdb.org/t/p/original/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg,"Adventure,Fantasy,Drama,Romance",http://eclipsethemovie.com,"27571,113019,1393423,1983299,2045537,2476949","56855,56856"
