id,first_air_date,last_air_date,seasons,episodes,runtime,imdb_id,title,photo_url,genre,homepage,directors,writers
1400,1989-07-05,1998-05-14,9,180,22,,Seinfeld,https://image.tmdb.org/t/p/original/aCw8ONfyz3AhngVQa1E2Ss4KSUQ.jpg,Comedy,http://www.sonypictures.com/tv/shows/seinfeld/,"1213790,1215063,1223829,1206,15452,175488,193278","16376,16377,6767,1216559,1216670,57406,1216673,57405,44117,52864,57407,44115,161927,1219047,1223846,4485,1213123,95480,1219472,95652,1222818,1214291,1217235,1213759,56107,1214248,1223818,165843,1216630,1223854,1216617,1223815,1223855,57670,1223847,162610,1236682,1223823,1217322,1223814,1223824"
105,1998-06-06,2004-02-22,6,94,25,,Sex and the City,https://image.tmdb.org/t/p/original/yd5tIz125kF25H4Okld3uqyQgvA.jpg,Comedy,http://www.hbo.com/sex-and-the-city,"38023,44797,157879,163097","38023,47915,42702"
19885,2010-07-25,2017-01-15,4,12,90,,Sherlock,https://image.tmdb.org/t/p/original/7WTsnHkbA0FaG6R9twfFde0I9hl.jpg,"Crime,Drama,Mystery",http://www.bbc.co.uk/programmes/b018ttws,"2291,42274,1230430,1231927,56891,1216417,1624330,113273","25167,146459,34546,1247498"
60573,2014-04-06,2019-12-08,6,53,28,,Silicon Valley,https://image.tmdb.org/t/p/original/a154rIMzbTyefodNp4NY8qjOEfC.jpg,Comedy,http://www.hbo.com/silicon-valley,"17403,59466,1319311,82226,1113994,916958,1141378,1459360,11154,57406,1284099,67539","2682926,1216561,1122300,1807680,1223846,1531428,1585341,1216671,1216629,1787167,1250579,1254628,208214,1823296,67539,57406,1708292,1610625,1807681,1319310,60932,60931,17403"
580,1993-01-03,1999-06-02,7,176,45,,Star Trek: Deep Space Nine,https://image.tmdb.org/t/p/original/vE6138ykaEXQkCSEHyuBIgfGlUZ.jpg,"Sci-Fi & Fantasy,Action & Adventure,Drama",http://www.startrek.com/page/star-trek-deep-space-nine,"1215367,1190754,151351,1215364,2390,822,9807,177876,31900,1219320,37593,1212809,39759,44130,2380,58826,2775,79317,1211992,67576,2391,139086,2388,2957,1213368,158237,151843,1402031,1219354,107011,75342,14782,44134","1213783,1745,2514,1218835,1172762,2385,151329,1212216,1224368,1224367,1214559,1227983,167952,1219351,1214727,2242215,1220834,1066277,1219348,1864236,2295446,2297074,157839,1482298,117138,2284552,2259395,1219383,2358332,1219378,2086918,2086919,1974101,152589,117140,2364537,2297075,166073,1219356,17311,37078,1224070,1219327,1214886,2347833,67022,2228751,1220673,2341070,1219359,86134,2341069,58831,152993,2300569,2202298,168277,65405,58832,2268382,2331497,1217456,2278792,69672,2401627,70987,2268381,69673,2320813,1893123,2202297,2311680,26049,1217663,1095380,196509,1215367,2320812,1219339,2318451,2307624,103322,1227516,2311681,2347832,2295434,1614316,1224071,77213,2267911,187863,373986,2228753,2307623,1755,1219416"
655,1987-09-28,1994-05-23,7,177,45,,Star Trek: The Next Generation,https://image.tmdb.org/t/p/original/m8Jp435AhUBmltmPyP5LOYjc80V.jpg,"Sci-Fi & Fantasy,Action & Adventure,Drama,Mystery",http://www.startrek.com/page/star-trek-the-next-generation,"1219320,1190754,151351,12523,151843,2388,1219354,107011,39759,2380,2387,2775,44130,534222,1213368,1219383,177876,2390,1215367,1402031,2383,1966629,1219356,29287,1216745,1010071,15959,1212412,109635,31900,157892,37593,75232,2392,64815,152646,1219378,40391","2385,2386,1212216,1219348,1219351,2514,32731,1219378,151329,26049,49917,1213783,1214886,1219339,51695,1745,1219330,55931,1219386,2057278,1214727,1214559,1222910,1219336,1218835,65625,1219409,1214476,1219371,153752,365247,2025696,157839,152470,1219404,160447,2057279,2020114,37078,1219360,152589,1219372,1217777,1219398,1219333,16252,69782,1614689,1219413,1999321,1227992,949636,189089,2034078,14839,162238,1217706,1212925,35306,25167,1493295,1198600,2086918,1973363,2029492,1219361,154480,583588,2674871,34938,1219353,1219327,1970124,67022,2057280,132195,1219359,86134,1987165,1741082,2028360,2025702,1219349,1219326,1219414,2086920,74681,1172762,2039894,2039895,1217989,77544,34933,16386,158062,2049641,1792,1218293,2049631,1216211,1237275,1221569,45393,1219374,1554412,2086921,3085,1213808,68414,1219416,2086919,1219342,1212062,1421896,2089674,2674872,1408432,1243067,1001976,1219346,1212638,1555390,1974101,1640170,1219328,1219341,1219369,1387031,2083488,1212637,7300"
4629,1997-07-27,2007-06-22,10,214,42,,Stargate SG-1,https://image.tmdb.org/t/p/original/9Jegw0yle4x8jlmLNZon37Os27h.jpg,"Sci-Fi & Fantasy,Action & Adventure,Mystery",http://stargate.mgm.com/view/series/1/index.html,"118463,1214381,1222912,141788,1222971,1211827,44132,25882,1232943,1398569,39677,27745,166437,1224904,1822,189655,94045,66240,44134,26086,1237708,83706,26087,64168","8676,27745,1221015,1230694,72082,26063,1224904,118463,1222911,1219327,1237712,1237686,1219398,1237701,104831,26088,1237669,1225485,72101,62763,1219328,1237711,1212569,51327,65532,1237689,1230717,1217139,1221016,85923,209211,1237715,44808,111379,1237693,1708286,26048,26086,1237703,1237704,21563"
52,1998-08-23,2006-05-18,8,200,25,,That '70s Show,https://image.tmdb.org/t/p/original/1rzL6DVmCSZ3jzLFon8mhYcRsUK.jpg,"Comedy,Family,Drama",,"1212417,15239","1212430,56592,1212424,1212431,1212428,1212419,1212418,111943,97263,97262,111942,1212422,1212453,56157,56156,1212429,1212423,1212469,1212472,1212475,62831,1212463,1212451,1212488,1212450,1212236"
48866,2014-03-19,2020-09-30,7,100,43,,The 100,https://image.tmdb.org/t/p/original/wcaDIAG1QdXQLRaj4vC1EFdBT2.jpg,"Sci-Fi & Fantasy,Drama,Action & Adventure",http://www.cwtv.com/shows/the-100/,"1215143,64190,152209,1400942,1288953,1240413,1237457,240735,1466075,1803548,31166,1513264,1110075,51853,2447433,1575978,113210,1220833,1215006,1214479,127733,166447,1512993,58005","1812487,1258670,1803550,582617,582616,1582519,1218959,98430,1327476,157125,1803552,1317392,1527948,2073698,2317615,1803546,1237455,1519508,1224044,1218781,1212204,1387274,1519509,1246853,50720,98159,2344098,2009489,1442187,1222913,1368832,1502936,1812976,159823,50721,157839"
1418,2007-09-24,2019-05-16,12,279,22,,The Big Bang Theory,https://image.tmdb.org/t/p/original/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,Comedy,http://www.cbs.com/shows/big_bang_theory/,"1320838,1553604,1532854,2126620,1886801,157437,151192,1215073,155649,1224140,2145177,2020833,2141156,1480257,2129936,1981860,2155176,2950076,122853","160172,1224133,1224134,163528,1217231,1222187,1224139,581616,1379356,1224135,1481429,1218744,1480277,1224136,1366449,1217292,1217296,1224137,1224119,1216558,1294074,1826209,1532854,1236113,2147429,2129873,2145239,2145234,1591833,1483755,2152825,2145233,2150583"
66573,2016-09-19,2020-01-30,4,50,22,,The Good Place,https://image.tmdb.org/t/p/original/eFV0O3u0CbVdhEYIozea4iZRn3O.jpg,"Sci-Fi & Fantasy,Comedy",http://www.nbc.com/the-good-place,"1893791,1290146,87673,1241313,1226308,1320713,1711826,1539690,1893781,1352983,1214860,1212609,2254959,1893783,90492,114597,1296522,1212689,1220517,1739469,178926,1020767,40462","1356008,1355653,1708292,1230225,1052684,74357,1226308,1893777,74356,1703141,1267201,1087679,1294737,2505610,1893791,47506,1298804,1020767,3045747,1739472"
5920,2008-09-23,2015-02-18,7,151,43,,The Mentalist,https://image.tmdb.org/t/p/original/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,"Crime,Drama,Mystery",https://www.warnerbros.co.uk/tv/the-mentalist/,"1214432,47020,1288953,146887,1214368,9556,15337,1284159,43468,933949,1214045,104404,15798,34396,155423,74065,154528,33316,64171,1347977,1214867,15912,111944,18695,78992,91499,45649,31119,173957,44481,3110,227397,1215143,1598770,1216149,39460,1211883,75631,1214400,81727,77458,40230,1224653,1215006,1224089,29078,1122804,155007,19839","1211883,1215660,1227657,1216134,1320139,1239502,154623,1213077,1347275,1100726,1331656,1223984,1226723,1216164,1598062,1486893,1597203,1222278,58504,1367132,1367256,1367107,1367220,106257"
2316,2005-03-24,2013-05-16,9,195,22,,The Office,https://image.tmdb.org/t/p/original/qWnJzyZhyy74gjpSjIXWmuk0ifX.jpg,Comedy,http://www.nbc.com/The_Office/,"1215572,116805,29009,1216630,1212689,1213125,157771,107770,1212609,1524,1665868,125167,11678,1220649,58868,17697,71600,1551338,122583,89576,1290146,173667,50719,57115,12891,52443,66960,154521,1223146,15277,39189,15344,57434,194227,65506,61069,17419,1212807,68215,56591,87742","125167,1213125,84416,84417,107770,1220649,1230847,1216630,1226308,1226276,1216619,1216625,1225604,1229493,1230848,1217228,39189,1216623,1230850,1230201,1225966,17835,239,1244094,1351221,154091,1221087,1230854,4495"
